"","category","name","reviewer","review","date","ratings"
"40","Lipstick","L'Oreal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 642 #MLBB","Adriana","Lunga tenuta e profumato come ogni rossetto della l'Oreal.  Viene quasi voglia di mangiarlo. Il colore è molto delicato e stendolo è talmente cremoso che si intuisce subito che non rischia di seccare le labbra. Inotlre lo stick trasparente è davvero un elemento di classe. Molto bello","Reviewed in Spain on 11 January 2019","1.0 out of 5 stars"
"41","Lipstick","L'Oreal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 642 #MLBB","Emma Turner","Arrivato prima del previsto. Colore bellissimo, ho preso il 245, esattamente quello che volevo. Idratante con effetto shiny adatto. Consigliatissimo","Reviewed in Australia on 1 October 2023","4.3 out of 5 stars"
"42","Lipstick","L'Oreal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 642 #MLBB","Katherine","Ottimo","Reviewed in Australia on 21 December 2022","5.0 out of 5 stars"
"43","Lipstick","L'Oreal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 642 #MLBB","Client d'Amazon","Me ha encantado la textura de este labial, aparte de tener un bonito color  ( yo tengo el 642) es megahidratante. Estoy muy contenta porque llevo tiempo buscando un labial para pieles maduras y al fin he dado en el clavo !!!!!","Reviewed in Italy on 26 June 2022","2.0 out of 5 stars"
"44","Lipstick","L'Oreal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 642 #MLBB","Hamza","Ha venido dañada o usada antes.","Reviewed in Italy on 27 December 2021","5.0 out of 5 stars"
"45","Lipstick","L'Oreal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 642 #MLBB","Sandra","I recently tried this product and was quite impressed. The quality and colur shade were just like I was looking for. Fully satisfied.","Reviewed in Spain on 25 May 2022","5.0 out of 5 stars"
"46","Lipstick","L'Oreal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 642 #MLBB","E. S.","Har beställt fel färg så inte braMen har beställt nytt o det örjag nöjd med.","Reviewed in Spain on 25 October 2020","5.0 out of 5 stars"
"47","Lipstick","L'Oreal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 642 #MLBB","E. S.","Me ayuda a dar brillo y un tono nude a cualquier labial de color fuerte. Se siente muy bien en los labios, cremoso pero no pegajoso y dura bien considerando que es un brillo cremoso.","Reviewed in Canada on 2 October 2023","2.0 out of 5 stars"
"48","Lipstick","L'Oreal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 642 #MLBB","Amna Liaqat","OnctueuxQualité/prixBonne tenue","Reviewed in Sweden on 5 March 2023","2.0 out of 5 stars"
"49","Lipstick","L'Oreal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 642 #MLBB","Yvonne Svensson","Köpte två i samma kulör och numret baktill var lika så allt verkade ok men när jag tog av locket visade det sig att det skilde sig rejält i verkligheten det ena var samma kulör som jag haft tidigare men det andra var en helt annan. Jag skickade inte tillbaks det felaktiga utan provar om det passar mig ändå.","Reviewed in Mexico on 3 July 2022","5.0 out of 5 stars"
