"","category","name","price","ratings","no_of_reviews"
"93","Lipstick","Maybelline Lipstick, Superstay Matte Ink Crayon Longlasting Nude Lipstick with Precision Applicator 15 Lead The Way","$41.98","4.5 out of 5 stars","5"
"94","Lipstick","Golden Rose Longstay Liquid Matte Lipstick - 30,","$37.85","4.6 out of 5 stars","960"
"95","Lipstick","Revlon Super Lustrous Creme Lipstick, Rum Raisin 535, 0.15 Ounce","$37.20","4.1 out of 5 stars","1,902"
"96","Lipstick","L'Oreal Paris Les Chocolats Ultra Matte Liquid Lipstick - 852 Box Of Chocolates",NA,"4.1 out of 5 stars","5,935"
"97","Lipstick","Bourjois Rouge Edition Velvet Liquid Lipstick, Nude-Ist, 6.7ml",NA,"4.3 out of 5 stars","9"
"98","Lipstick","3CE Mood Recipe Matte Lip Colour, No. 909 Smoked Rose 3.5 G, Smoked Rose, 3.5 g",NA,"4.4 out of 5 stars","388"
"99","Lipstick","MAC Matte Lipstick - 613 Sin for Women 0.10 oz Lipstick",NA,"4.4 out of 5 stars","138"
"100","Lipstick","Revlon Super Lustrous Lipstick, Smoked Peach",NA,"4.2 out of 5 stars","362"
"101","Dress","Women's Elbow Length Sleeve Print Tiered Maxi","$101.42","3.8 out of 5 stars","79"
"102","Dress","Tommy Hilfiger Women's Short Sleeve Essential Everyday Dress","$127.12","4.0 out of 5 stars","80"
"103","Dress","Tie Waist Summer, Button-Down Shirt Dress for Women","$117.07","4.4 out of 5 stars","52"
"104","Dress","Women's 2023 Summer Crossover Halter Neck Sleeveless Plaid Cut Out Backless Flowy A Line Maxi Dress","$88.23","4.0 out of 5 stars","1,933"
"105","Dress","Womens Cotton Embroidered High Low Long Dresses","$92.12","4.3 out of 5 stars","1,804"
"106","Dress","Women's Flapper Dresses 1920s V Neck Beaded Fringed","$105.99","4.4 out of 5 stars","2,683"
"107","Dress","Women's Summer Boho Strap v Neck Solid Color Lace Trim Backless Flowy A Line Beach Long Maxi Dress","$90.00","3.8 out of 5 stars","19"
"108","Dress","Women Sleeveless Overall Cheer Sissy Bodycon Mini Dress Skirt","$228.37","4.3 out of 5 stars","897"
"109","Dress","Women’s Floral Tie Dye Sheer Mesh Mini Dress Sexy Mock Neck Split Bodycon Flared Long Sleeve Beach Party Dress","$94.83","4.5 out of 5 stars","171"
"110","Dress","Women's","$71.39","4.0 out of 5 stars","351"
"111","Dress","Women's Short Sleeve Collared Polo Dress","$95.24","4.2 out of 5 stars","13,652"
"112","Dress","Women's Polka Dot Slim Fit Half Sleeve Dresses Square Collar Long Midi Dress","$128.82","3.9 out of 5 stars","7,019"
"113","Dress","Strapless Dress for Women Summer Beach Boho Smocked Tube Top Dress","$129.62","3.9 out of 5 stars","541"
"114","Dress","Women's Autumn Winter Cotton Long Sleeves Elegant Knitted Bodycon Tie Waist Sweater Pencil Dress","$3.00","4.3 out of 5 stars","112"
"115","Dress","Women's Elegance Audrey Hepburn Style Ruched Dress Round Neck 3/4 Sleeve Sleeveless Swing Midi A-line Dresses","$146.62","4.2 out of 5 stars","1,807"
"116","Dress","Short Sleeve Round Neck Women's Maxi Dress Pleated Plain Belt Dress","$119.20","4.5 out of 5 stars","2"
"117","Dress","Women's Midi Dress",NA,"4.1 out of 5 stars","704"
"118","Dress","Women's Casual, Long Sleeve",NA,"4.3 out of 5 stars","1,037"
"119","Dress","Summer Mini Dress for Women Casual Lounge V Neck Long Sleeves Floral Printed Boho Swing Bodycon Maxi Dresses 2023 Beach Dress",NA,"3.9 out of 5 stars","7"
"120","Dress","Women's Casual Bohemian Print Tie Long Sleeve Beach Style Long Midi Holiday Dress",NA,"4.2 out of 5 stars","1,140"
"121","Dress","Women's Floral Dress Low-Cut Square Neck Spaghetti Strap Tie Bodycorn Dresses",NA,"3.7 out of 5 stars","2,575"
"122","Dress","Women's Plus Size",NA,"4.2 out of 5 stars","21,341"
"123","Dress","Women Y2k Floral Sheer Mesh Long Dress See Through Spaghetti Strap Maxi Dress Bodycon Tulle Cami Dress Beach Wear",NA,"4.0 out of 5 stars","2"
"124","Dress","Women's Summer Dress Square Neck Short Sleeves Crossover Waist Casual Party Mini Dress",NA,"4.6 out of 5 stars","613"
"125","Dress","Women's Summer Cotton Polka Dots Puff Sleeves Bow Casual Off-Shoulder Boho Midi Dress",NA,"3.4 out of 5 stars","18"
"126","Dress","Women's Summer Maxi Dress Casual Loose Pockets Long Dress Short Sleeve Split",NA,"4.1 out of 5 stars","20,544"
"127","Dress","PWNO234081 Women's Moose Ribbon Dress",NA,"3.9 out of 5 stars","1,043"
"128","Dress","Loose Pockets T-Shirt Dress Women's Summer Sleeveless Bohemian Print Tunic Swing",NA,"4.3 out of 5 stars","229"
"129","Dress","Women's Tulip Sleeved Seamed Sheath, Ultramarine, 2",NA,"4.3 out of 5 stars","8"
"130","Dress","Islamic Dress for Women Prayer Clothes for Muslim Women 2 Piece Set Maxi Skirt with Hijab and Rosary Printed Dress",NA,"3.9 out of 5 stars","135"
"131","Dress","Women's",NA,"3.9 out of 5 stars","284"
"132","Dress","Womens Floral Embroidered Off Shoulder Long Sleeve Short Dresses",NA,"4.5 out of 5 stars","146"
"133","Dress","Women's Short Side Ruched Dress with Cascade Ruffle Skirt",NA,"3.9 out of 5 stars","22"
"134","Dress","Women's Scuba Crepe Flounce Sheath Dress",NA,"4.3 out of 5 stars","7"
"135","Dress","Summer Floral Loose Caftan Boho Beach Bikini Cover Up Dress Plus Size Robe for Women",NA,"4.2 out of 5 stars","746"
"136","Dress","Women's Satin Shirt Dresses Button Down Long Sleeve Short Dress Tie Waist Mini Party Dress",NA,"4.0 out of 5 stars","23"
"137","Dress","Women's T-Shirt Dress",NA,"4.2 out of 5 stars","1,597"
"138","Dress","Women's Fit and Flare Dress",NA,"4.3 out of 5 stars","1,987"
"139","Dress","Girl Stroke Boy",NA,"4.1 out of 5 stars","462"
"140","Dress","Women's Beaded Chiffon Jacket Dress",NA,"4.2 out of 5 stars","1,108"
"141","Dress","Womens Summer Casual Dress Loose Batwing Sleeve Crew Neck Chiffon Cape Elegant Midi Cocktail Pencil Dresses for Women UK for Funeral Party Wedding","$89.44","4.0 out of 5 stars","382"
"142","Dress","Medieval Clothing Women's Victorian Dress with Victorian Blouse and Medieval Skirts","$119.05","4.0 out of 5 stars","46"
"143","Dress","Women's Cotton Dress with Pockets Loose Plus Size Casual Crewneck Short Sleeve Midi Dress Solid Color Sundress for Party Fall Daily 2023","$87.20","3.1 out of 5 stars","2"
"144","Dress","Women's Elegant Summer Boho Floral Maxi Dress Ruffle Flowy Beach Split Smocked Backless Midi Sundress Pocket","$141.19","5.0 out of 5 stars","1"
"145","Dress","Women Sexy Backless Draped Maxi Dress Elegant Sleeveless Spaghetti Strap Evening Dress Long Club Party Beach Dress","$102.54","3.6 out of 5 stars","232"
"146","Dress","Women's Half Placket Long Sleeve Casual Shirt Dress with Belt","$109.74","4.3 out of 5 stars","162"
"147","Dress","Women's","$77.37","4.0 out of 5 stars","301"
"148","Dress","Women's Breton Stripes Sleeveless V-Neck Stretch Cotton Polo Dress","$67.78","4.5 out of 5 stars","183"
"149","Dress","Summer Dresses for Women 2024 Casual Floral Hollow Out Halter Neck A-line Cold Shoulder Sundresses for Beach Vacation","$79.38","4.1 out of 5 stars","894"
"150","Dress","Women Sexy Bodycon Maxi Dress Sleeveless Solid Color Slip Dress Elegant Long Cami Dresses Evening Party","$115.39","4.2 out of 5 stars","754"
"151","Dress","Womens Cotton Embroidered High Low Long Dresses","$390.66","4.3 out of 5 stars","1,804"
"152","Dress","Women's Sportswear Funnel Neck Sweatshirt Dress","$156.69","4.7 out of 5 stars","35"
"153","Dress","Women's Kendall 3/4 Elbow Bell Sleeve Sheath Dress","$194.06","3.2 out of 5 stars","10"
"154","Dress","Women's Casual Day Dress","$320.03","4.4 out of 5 stars","53"
"155","Dress","Nanette Nanette Lepore Women's Smocked High Neck Pleated Maxi Dress","$158.71","4.0 out of 5 stars","19"
"156","Dress","Desgual 21SWVK282000 Women's Casual Dress","$123.28","4.0 out of 5 stars","366"
"157","Dress","Women's Lovely Ways Button Front Midi Dress","$105.33","4.0 out of 5 stars","985"
"158","Dress","Women's Long-Sleeved Mini Dress Checked Dress Turtleneck Knitted Dress A-line Sweater Autumn Dress Loose Dresses Pullover Dress for Winter Autumn",NA,"4.1 out of 5 stars","2,138"
"159","Dress","Ladies Cute Sleeveless deep V-Neck Dress, Summer Casual Dress",NA,"4.2 out of 5 stars","470"
"160","Dress","Women Sexy Strapless Tube Top",NA,"3.9 out of 5 stars","818"
"161","Dress","Women's Plaid Square Neck Ruffle Puff Sleeve Midi Dress Summer Boho Backless Smocked Dress",NA,"4.5 out of 5 stars","67"
"162","Dress","Women's Plus Size Cold Shoulder Dresses Elegant Mesh Neck Cocktail Casual Dress with Pockets",NA,"3.7 out of 5 stars","2,575"
"163","Dress","Women's Casual Boho Floral Print V-Neck Short Sleeve Button Down High Waist Mini Dress Work Dress",NA,"2.2 out of 5 stars","3"
"164","Dress","Tommy Hilfiger T-Shirt Short Sleeve Cotton Summer Dresses for Women",NA,"4.3 out of 5 stars","2,287"
"165","Dress","Women's Summer Cotton Polka Dots Puff Sleeves Bow Casual Off-Shoulder Boho Midi Dress",NA,"3.9 out of 5 stars","147"
"166","Dress","Women's Summer Boho Long Maxi Dress Ladies Holiday Beach Short Sleeve Floral Sundress 2022 New",NA,"4.3 out of 5 stars","393"
"167","Dress","African Women Applique Flower Dress Boat Neck Chiffon Kaftan Dress One Size",NA,"3.6 out of 5 stars","64"
"168","Dress","Womens Summer Floral Print Puff Sleeves Vintage Ruffles Midi Dress",NA,"5.0 out of 5 stars","6"
"169","Dress","Women's",NA,"4.0 out of 5 stars","128"
"170","Dress","Santa School",NA,"4.4 out of 5 stars","508"
"171","Dress","Women's Tea Length Embroidered Dress Illusion Sleeves (Petite Missy)",NA,"4.4 out of 5 stars","52,906"
"172","Dress","Women's Woman Knit Dress Long Sleeve",NA,"4.9 out of 5 stars","14"
"173","Dress","MedeShe Women's Christmas Long Sleeve V Neck Velvet Maxi Dress",NA,"4.0 out of 5 stars","86"
"174","Dress","Women's Long Shift Dress Illusion Neckline (Petite and Regular)",NA,"3.9 out of 5 stars","22"
"175","Dress","Women's Tunics Tops Bell Short Sleeve Lace Casual T Shirts Blouse",NA,"5.0 out of 5 stars","3"
"176","Dress","Women's Sleeveless Denim Patchwork Belted Dress",NA,"4.0 out of 5 stars","14"
"177","Dress","Women's Tea-Length Dress with Jacket",NA,"4.1 out of 5 stars","7"
"178","Dress","Women's Vest_buganvilla Casual Dress",NA,"4.2 out of 5 stars","211"
"179","Dress","Penthouse Earth-Shaker Dress, Medium/Large, White",NA,"1.0 out of 5 stars","2"
"180","Dress","Women's Cotton Fit and Flare Dress",NA,"4.3 out of 5 stars","2,021"
"181","Dress","MedeShe Women's Christmas Long Sleeve V Neck Velvet Maxi Dress","$194.06","4.0 out of 5 stars","128"
"182","Dress","Women's Long Shift Dress Illusion Neckline (Petite and Regular)","$320.03","4.4 out of 5 stars","508"
"183","Dress","Women's Tunics Tops Bell Short Sleeve Lace Casual T Shirts Blouse","$158.71","4.4 out of 5 stars","52,906"
"184","Dress","Women's Sleeveless Denim Patchwork Belted Dress","$123.28","4.9 out of 5 stars","14"
"185","Dress","Women's Tea-Length Dress with Jacket","$105.33","4.0 out of 5 stars","86"
"186","Dress","Women's Vest_buganvilla Casual Dress","$86.08","3.9 out of 5 stars","22"
"187","Dress","Penthouse Earth-Shaker Dress, Medium/Large, White","$1.99","5.0 out of 5 stars","3"
"188","Dress","Women's Cotton Fit and Flare Dress","$85.43","4.0 out of 5 stars","14"
"189","Dress","Women's Livia Midi High Dress","$334.04","4.1 out of 5 stars","7"
"190","Dress","Women's Eugie Delph Drape V Neck Dress Casual","$65.24","4.2 out of 5 stars","211"
"191","Dress","Sharagano","$19.68","4.4 out of 5 stars","137"
"192","Dress","Women's Vest_Kameron Casual Dress","$227.05","1.0 out of 5 stars","2"
"193","Dress","Women T Shirt Dress Crew Neck Loose Plain Casual Plus Size Midi Dress with Pockets","$89.16","4.3 out of 5 stars","2,021"
"194","Dress","Women's Contrast Doll Collar Short Sleeves Above Knee Flare Dress","$211.84","4.0 out of 5 stars","9,350"
"195","Dress","Amoretu","$79.29","4.4 out of 5 stars","3,252"
"196","Dress","Women's Long Batwing Sleeve Wrap V Neck Knitted Backless Bodycon Pullover Sweater Dress with Belt","$55.00","4.1 out of 5 stars","1,177"
"197","Dress","ZESICA","$143.39","3.9 out of 5 stars","284"
"198","Dress","Women Crew Neck T Shirt Dress Loose Plain Casual Plus Size Midi Dresses with Two Pockets","$91.66","5.0 out of 5 stars","12"
"199","Dress","Women's Star Heart Floral Print Casual Square Neck Short Sleeve Flare Dress","$101.01","4.5 out of 5 stars","903"
"200","Dress","Elegant Long-Sleeved Dress Long-Sleeve Women Fall Spring V Neck Long Sleeve Flower Print A-line Loose Hem Big Swing High Tight Waist Lady Prom Party","$98.56","4.3 out of 5 stars","507"
